model_label,price_measure,star_form,positive_review_form,comparison_population,rows,fba_rows,nonfba_rows,fba_share,mean_abs_smd,median_abs_smd,max_abs_smd,variables_abs_smd_above_0_10,variables_abs_smd_above_0_25,balance_note
split_price_categorical_stars_no_positive_reviews,split_price,categorical_stars,positive_reviews_dropped,propensity_common_support,1980,951,1029,0.4803030303030303,0.5106559463414692,0.5246479094658882,0.771079232649288,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars,total_price,linear_stars,positive_reviews_included,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_0_05_0_95,2129,812,1317,0.38139971817754814,0.4515747394502435,0.43406821099656095,0.8517055625251658,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_0_10_0_90,1564,719,845,0.45971867007672634,0.4056501488059256,0.3219748800245063,0.9505462023752963,4,4,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars,total_price,linear_stars,positive_reviews_included,propensity_common_support,2205,934,1271,0.4235827664399093,0.47469425029062184,0.4325787933046751,0.8673133196136894,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_0_05_0_95,2265,790,1475,0.3487858719646799,0.6079532244063207,0.5369734620573611,1.1203386818122558,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_0_10_0_90,1784,691,1093,0.3873318385650224,0.4918790861702669,0.3920381838805856,0.8562450211204448,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_linear_stars_no_positive_reviews,total_price,linear_stars,positive_reviews_dropped,propensity_common_support,2948,928,2020,0.3147896879240163,0.5949288674557371,0.5355802263032832,0.9596929833999032,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,propensity_0_05_0_95,2133,819,1314,0.38396624472573837,0.4641551920338095,0.4000255721512155,0.8502507754729195,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,propensity_0_10_0_90,1606,719,887,0.4476961394769614,0.42692154297663215,0.2715996243848437,1.026728919588773,6,4,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars,total_price,categorical_stars,positive_reviews_included,propensity_common_support,2199,942,1257,0.42837653478854026,0.48754662237722723,0.4426795545116378,0.8752212552076063,7,5,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,full_sample,5107,996,4111,0.1950264343058547,0.7777654676977025,0.8710258498982116,1.5525162229632423,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,propensity_0_05_0_95,2228,802,1426,0.3599640933572711,0.6051054172220767,0.47078932179942723,1.0951970813043113,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,propensity_0_10_0_90,1807,693,1114,0.3835085777531821,0.5136955485666165,0.4051132406660105,0.9061647179257724,6,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
total_price_categorical_stars_no_positive_reviews,total_price,categorical_stars,positive_reviews_dropped,propensity_common_support,2761,923,1838,0.33429916696848966,0.593518838465277,0.6087514078578845,0.9069393223831189,7,6,Lower absolute SMDs indicate better observed balance. P-values are secondary because overlap samples remain moderately large.
